num,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,class
0,0.585593,0.008486855,0.192772,738.6857143,1514,51708,2
1,0.250416,0.003629217,0.090907,818.2142857,1514,57275,2
2,0.203009,0.002942159,0.090907,865.8142857,1514,60607,2
3,0.086929,0.001259841,0.039957,980.1857143,1514,68613,2
4,0.013673,0.000198159,0.00377,1035.942857,1514,72516,2
5,0.006869,9.96E-05,0.001388,897.1428571,1514,62800,2
6,0.012534,0.000181652,0.007049,799.3714286,1514,55956,2
7,0.01774,0.000257101,0.007049,841.2571429,1514,58888,2
8,0.01249,0.000181014,0.003699,979.0857143,1514,68536,2
9,0.007848,0.000113739,0.000672,1086.7,1514,76069,2
10,0.008663,0.000125551,0.001454,1081.4,1514,75698,2
11,0.010025,0.00014529,0.001454,1070.7,1514,74949,2
12,0.009181,0.000133058,0.001244,1076,1514,75320,2
13,0.00984,0.000142609,0.001708,993.2571429,1514,69528,2
14,0.008514,0.000123391,0.001708,952.7285714,1514,66691,2
15,0.015447,0.00022387,0.004842,1035.471429,1514,72483,2
16,0.015423,0.000223522,0.004842,1063.5,1514,74445,2
17,0.008295,0.000120217,0.001513,1105.214286,1514,77365,2
18,0.00834,0.00012087,0.001366,1094.585714,1514,76621,2
19,0.008431,0.000122188,0.001071,1073.728571,1514,75161,2
20,0.011408,0.000165333,0.003831,1072.228571,1514,75056,2
21,0.043892,0.000636116,0.01627,1025.914286,1514,71814,2
22,0.080173,0.001161928,0.020445,971.2571429,1514,67988,2
23,0.06769,0.000981014,0.020445,955.3714286,1514,66876,2
24,0.063903,0.00092613,0.016977,924.7142857,1514,64730,2
25,0.082882,0.001201188,0.029444,891.8,1514,62426,2
26,0.087991,0.001275232,0.029444,1047.5,1514,73325,2
27,0.041359,0.000599406,0.019215,1092.928571,1514,76505,2
28,0.00794,0.000115072,0.002417,1030.842857,1514,72159,2
29,0.008254,0.000119623,0.002417,1080.528571,1514,75637,2
30,0.020709,0.00030013,0.008297,989.5714286,1514,69270,2
31,0.074955,0.001086304,0.030771,945.7,1514,66199,2
32,0.084148,0.001219536,0.030771,977.0714286,1514,68395,2
33,0.104011,0.001507406,0.025921,985.5142857,1514,68986,2
34,0.093335,0.001352681,0.025921,946.9857143,1514,66289,2
35,0.063794,0.000924551,0.020134,966.0428571,1514,67623,2
36,0.100715,0.001459638,0.020134,1001.828571,1514,70128,2
37,0.094185,0.001365,0.018551,924.4142857,1514,64709,2
38,0.08304,0.001203478,0.025482,966.8571429,1514,67680,2
39,0.103009,0.001492884,0.025482,1022.328571,1514,71563,2
40,0.077403,0.001121783,0.012977,1005.928571,1514,70415,2
41,0.100058,0.001450116,0.021481,1018.128571,1514,71269,2
42,0.081519,0.001181435,0.021481,1000.628571,1514,70044,2
43,0.076735,0.001112101,0.032012,992.1142857,1514,69448,2
44,0.10942,0.001585797,0.032012,983.4285714,1514,68840,2
45,0.075163,0.001089319,0.02805,924.9,1514,64743,2
46,0.0717,0.00103913,0.015895,968.6142857,1514,67803,2
